a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.45-1
acl 2.2.52-4
acpi 1.7-2
adwaita-icon-theme 3.26.1-1
aircrack-ng 1.2rc4-4
alsa-lib 1.1.5-1
alsa-plugins 1.1.5-1
alsa-utils 1.1.5-2
android-platform 26_r02-1
android-platform-23 6.0_r03-1
android-sdk 26.1.1-1
android-sdk-build-tools r27.0.3-1
android-sdk-platform-tools r27.0.1-1
android-studio 3.0.1.0-1
android-udev 20171216-1
arc-gtk-theme 20170302-4
archey-plus 0.2.8-1
archlinux-keyring 20171213-1
asciiquarium 1.1-4
aspell 0.60.6.1-5
aspell-en 2016.06.26-1
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-3
autoconf 2.69-4
automake 1.15.1-1
autopsy 2.24-5
avahi 0.7-2
babl 0.1.38-1
bash 4.4.012-2
bc 1.07.1-1
bind-tools 9.11.2-2
binutils 2.29.1-1
bison 3.0.4-3
bluez 5.48-1
bluez-libs 5.48-1
bluez-utils 5.48-1
boost 1.65.1-2
boost-libs 1.65.1-2
bridge-utils 1.6-2
btrfs-progs 4.14-2
bubblewrap 0.2.0-1
bzip2 1.0.6-6
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.34.1-1
ca-certificates-utils 20170307-1
cairo 1.15.10-1
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
caribou 0.4.21+0+g36e3d0f-2
cdparanoia 10.2-5
celt 0.11.3-3
check 0.12.0-1
chromaprint 1.4.2-1
cifs-utils 6.7-2
clucene 2.3.3.4-9
clutter 1.26.2-1
cmake 3.10.1-1
cmatrix 1.2a-12
cogl 1.22.2+10+g3baa2d7a-1
colord 1.4.1+6+gf08c25d-1
compiz 0.9.13.1.r4138-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-10
confuse 3.2.1-1
coreutils 8.28-1
cower 17-2
cowsay 3.03-9
cracklib 2.9.6-1
cryptsetup 2.0.0-1
cups 2.2.6-1
cups-filters 1.17.9-3
curl 7.57.0-1
damageproto 1.2.1-3
